method,rmse,nll,fit_time,predict_time,total_time,missing_rate,run,rank,tensor_shape,n_train_obs,n_test_obs,final_iteration,converged,final_elbo,n_effective_samples,early_stopped,final_reconstruction_error
EMD-VI,0.995483563772386,0.4955255754625089,10.008515119552612,0.0025405883789062,10.01105570793152,0.1,0,10,"(3009, 16, 6)",26065,28886,,,,,,
CP-ALS,1.0228093812249233,0.5231013277528793,7.5786943435668945,0.2321665287017822,7.810860872268677,0.1,0,10,"(3009, 16, 6)",26065,28886,,,,,,
EMD-VI,1.0027370511062674,0.5027726094226707,9.974521160125732,0.0024514198303222,9.976972579956056,0.1,1,10,"(3009, 16, 6)",26032,28886,,,,,,
CP-ALS,0.9843668996328052,0.4845209091383747,7.034769535064697,0.2204468250274658,7.255216360092163,0.1,1,10,"(3009, 16, 6)",26032,28886,,,,,,
EMD-VI,1.013339427564382,0.5134602103202786,9.920928001403809,0.0025184154510498,9.923446416854858,0.1,2,10,"(3009, 16, 6)",25999,28886,,,,,,
CP-ALS,1.0473330722189638,0.5484850946738307,7.202235221862793,0.2217550277709961,7.423990249633789,0.1,2,10,"(3009, 16, 6)",25999,28886,,,,,,
EMD-VI,0.9989831995102408,0.4990155290438827,9.95629358291626,0.0024793148040771,9.958772897720335,0.1,3,10,"(3009, 16, 6)",26043,28886,,,,,,
CP-ALS,1.002522981096838,0.5025579764056695,7.043461322784424,0.2204868793487548,7.263948202133179,0.1,3,10,"(3009, 16, 6)",26043,28886,,,,,,
EMD-VI,1.0667607087419664,0.569021017449855,9.933460474014282,0.0025184154510498,9.935978889465332,0.1,4,10,"(3009, 16, 6)",25998,28886,,,,,,
CP-ALS,1.075802411517638,0.5787072269056067,7.515023469924927,0.2208030223846435,7.73582649230957,0.1,4,10,"(3009, 16, 6)",25998,28886,,,,,,
EMD-VI,1.0036312320476872,0.5036696375628034,24.25853943824768,0.0026080608367919,24.261147499084476,0.25,0,10,"(3009, 16, 6)",65084,28886,,,,,,
CP-ALS,0.8358268957396886,0.3493351124129462,7.920750141143799,0.2280943393707275,8.148844480514526,0.25,0,10,"(3009, 16, 6)",65084,28886,,,,,,
EMD-VI,1.0013379886644382,0.5013706963632953,24.20921564102173,0.0025961399078369,24.211811780929565,0.25,1,10,"(3009, 16, 6)",65008,28886,,,,,,
CP-ALS,0.8642494396642095,0.373495359571974,7.775740146636963,0.2272965908050537,8.003036737442017,0.25,1,10,"(3009, 16, 6)",65008,28886,,,,,,
EMD-VI,0.9992817559851356,0.4993138265143918,24.31529712677002,0.0026099681854248,24.317907094955444,0.25,2,10,"(3009, 16, 6)",64986,28886,,,,,,
CP-ALS,0.869115006017366,0.3777122594343071,7.779902219772339,0.2212486267089843,8.001150846481323,0.25,2,10,"(3009, 16, 6)",64986,28886,,,,,,
EMD-VI,1.006160366580942,0.5062111542311717,24.059027671813965,0.0026016235351562,24.06162929534912,0.25,3,10,"(3009, 16, 6)",64985,28886,,,,,,
CP-ALS,0.7998828067131842,0.3199380648297046,7.919268131256103,0.2225959300994873,8.14186406135559,0.25,3,10,"(3009, 16, 6)",64985,28886,,,,,,
EMD-VI,1.0438393570758688,0.5448321142823055,24.032730102539062,0.0025830268859863,24.03531312942505,0.25,4,10,"(3009, 16, 6)",64923,28886,,,,,,
CP-ALS,0.898268800798706,0.4034752318361966,7.863529205322266,0.2220985889434814,8.085627794265747,0.25,4,10,"(3009, 16, 6)",64923,28886,,,,,,
EMD-VI,1.00403049113308,0.5040704261544908,49.59380054473877,0.0026423931121826,49.59644293785095,0.5,0,10,"(3009, 16, 6)",129989,28886,,,,,,
CP-ALS,0.4913755549733991,0.1207567806047319,8.217518091201782,0.2211825847625732,8.438700675964355,0.5,0,10,"(3009, 16, 6)",129989,28886,,,,,,
EMD-VI,0.9961992811814996,0.4962383165052923,51.85044169425965,0.0028321743011474,51.85327386856079,0.5,1,10,"(3009, 16, 6)",129813,28886,,,,,,
CP-ALS,0.5283409452062805,0.1396038897827569,9.15035104751587,0.2219643592834472,9.372315406799316,0.5,1,10,"(3009, 16, 6)",129813,28886,,,,,,
EMD-VI,0.9854664140291997,0.4856038391818089,50.582093954086304,0.0025944709777832,50.58468842506409,0.5,2,10,"(3009, 16, 6)",129995,28886,,,,,,
CP-ALS,0.5995665326415284,0.1797718261239164,8.042301654815674,0.2311699390411377,8.273471593856812,0.5,2,10,"(3009, 16, 6)",129995,28886,,,,,,
EMD-VI,0.995392506365168,0.4954349334559895,50.39445376396179,0.0027732849121093,50.3972270488739,0.5,3,10,"(3009, 16, 6)",130020,28886,,,,,,
CP-ALS,0.6161476188010337,0.189850756669116,8.462634563446045,0.224733829498291,8.687368392944336,0.5,3,10,"(3009, 16, 6)",130020,28886,,,,,,
EMD-VI,1.0459123588387338,0.5469981437778261,49.90031361579895,0.0026361942291259,49.90294981002808,0.5,4,10,"(3009, 16, 6)",129939,28886,,,,,,
CP-ALS,0.6898683987919504,0.2379910164179088,8.090821981430054,0.221254825592041,8.312076807022095,0.5,4,10,"(3009, 16, 6)",129939,28886,,,,,,
